,psdtheta_1,psdalpha_1,psdbeta_1,psdtheta_2,psdalpha_2,psdbeta_2,psdtheta_3,psdalpha_3,psdbeta_3,psdtheta_4,psdalpha_4,psdbeta_4,psdtheta_5,psdalpha_5,psdbeta_5,psdtheta_6,psdalpha_6,psdbeta_6,psdtheta_7,psdalpha_7,psdbeta_7,psdtheta_8,psdalpha_8,psdbeta_8,psdtheta_9,psdalpha_9,psdbeta_9,psdtheta_10,psdalpha_10,psdbeta_10,psdtheta_11,psdalpha_11,psdbeta_11,psdtheta_12,psdalpha_12,psdbeta_12,psdtheta_13,psdalpha_13,psdbeta_13,psdtheta_14,psdalpha_14,psdbeta_14
0,-0.13760747265947598,-0.13723843650283976,-0.11699671562701691,-0.08061196564994633,-0.08111785542590537,-0.10877306565959073,-0.14668286375538506,-0.18292906098010986,-0.22977146767918358,-0.27377882086139976,-0.2739623172967751,-0.33960668089949586,-0.35307229591202005,-0.36376708852558404,-0.30274045200094224,-0.05001474516899494,-0.06590601715773949,-0.06627668876919945,-0.20470690703144234,-0.20589155050859995,-0.16338204541779666,-0.20772196859109376,-0.2028377700817429,-0.2142846067339104,-0.20208979073271452,-0.20209389582956783,-0.22454835771439047,-0.20567205165952662,-0.203274704636911,-0.17457036095700737,-0.2393323232721019,-0.23760430854415968,-0.17481427827869683,-0.27279631865349196,-0.2790337775842843,-0.2756212148826678,-0.24317717192370816,-0.24282889268273328,-0.23295813350810732,-0.21958851975973392,-0.21969274488603072,-0.2224784454270979
1,-0.1391735798468682,-0.13868521846276374,-0.11759895552137627,-0.09620717917797858,-0.09633786774040203,-0.11029288906824701,-0.11905141252789367,-0.1041697230111034,-0.0911781792205012,-0.13265218995849157,-0.1318828510404278,-0.2750076164604345,-0.21879434180563412,-0.22221878148396945,-0.19897510553579195,-0.2119300367147529,-0.20493697312615633,-0.1445345068484069,-0.16908713244783768,-0.1702862486592905,-0.21572590531244706,-0.14792755066893326,-0.14590401862319913,-0.16167105002414953,-0.1664898225212328,-0.15798898421107782,-0.13793334946553673,-0.14698868229936088,-0.14490238599253616,-0.13496127323984466,-0.18360658740582733,-0.19908568478476796,-0.22024914277235874,-0.19051867241487347,-0.17800824455614653,-0.16768211651388895,-0.19781000550626604,-0.20359765730964696,-0.20967563179512003,-0.20004436732237516,-0.200145536233104,-0.2069110063480023
2,-0.12768960935233697,-0.12753852946328942,-0.11041956170723587,-0.10120304145522273,-0.10125903969213203,-0.09838090384179382,-0.10576489624153636,-0.1056988379985057,0.042209014252505346,-0.16259249108752827,-0.1622183893339316,0.025383507940564713,-0.25661326687909947,-0.2621805884659122,0.007554845221047329,-0.1564368425901967,-0.1523126165590244,-0.05765953726927878,-0.17722376908671897,-0.17846066631356813,-0.1386748232432141,-0.17312679217291022,-0.16992826725580196,-0.10133898475951136,-0.14047944419115735,-0.10832412105869436,0.014033459249067862,-0.16430181495498314,-0.16216138465378052,-0.08436407130937468,-0.16709367626924082,-0.166828583307227,-0.08712732712901416,0.02360669992779289,0.02369090169208996,0.018826942159848332,-0.2102560345565088,-0.20977784451441422,-0.16522161542512984,-0.15018097770407163,-0.150376992368299,-0.07119324557131314
3,-0.15897189919400448,-0.1581229310987329,-0.13111141116321726,-0.10067363045499615,-0.10073900016580177,-0.09796377330409566,-0.06962936969589933,-0.030775279689480625,-0.0037931935462104456,-0.16408827895738196,-0.16370514464051075,-0.05275420505122941,-0.3054915386949341,-0.3136521065286971,-0.21929704309984177,-0.11422893676838658,-0.10658341302987935,-0.0856924830290332,-0.19077243332026475,-0.19198107136149944,-0.1602364418231124,-0.18708479272905124,-0.18320416502203457,-0.164320016507806,-0.18156530121958095,-0.1811669484855078,-0.09573849717243776,-0.18574793302569415,-0.18347224775782028,-0.15622873808570534,-0.20779408843849081,-0.2067002242386583,-0.12427012320774293,-0.07861347689790096,-0.07830622611583163,-0.0788095456350764,-0.23101431517686113,-0.2306174673072526,-0.195013626690702,-0.19355019367011916,-0.19368747666419175,-0.15888340323052105
4,-0.11048041034707985,-0.1107125052395153,-0.09903100029160913,-0.11150571307372902,-0.11133725694076513,-0.0890508305752274,0.049650632904978204,0.05001239971736895,0.05497528402843486,-0.12009256782148735,-0.11950885956628607,0.008725725651592837,-0.0747648363871301,-0.07067190850090947,-0.14563515880797534,-0.07909969369275091,-0.0789088315124524,-0.06913629195076557,-0.10242161236265539,-0.10380557631012426,-0.14343836933506324,-0.11671186323518883,-0.1162673054459169,-0.13786967050070595,0.06450195609222922,0.05861997183704718,-0.06695119581737845,-0.08906616976367672,-0.0873951830078519,-0.09168158564308718,0.007629735452540773,0.004330228949094223,-0.09644429334871508,-0.028710207032452684,-0.02845470043721988,-0.030801141437589972,-0.14573240189886244,-0.14500686960027115,-0.18646976972033766,-0.01686808846200801,-0.017255284808366838,-0.11691256499068728
5,-0.12614681530620933,-0.12600032727516478,-0.10924413364688897,-0.05500336462133766,-0.03706429608359289,0.26319334802577804,2.1547270450064664,2.162218935994668,2.1962259251861513,0.918672244066853,1.2126585129580796,1.962720753665285,0.44273187282253484,0.4759076057373796,0.44617042728632234,1.812368779281324,1.8333367655140853,1.1084425361136565,0.29916428795383077,0.29795486090332884,0.2847199135704433,0.1194790399382154,0.10900219964802038,0.09867794215665077,0.5247065167360652,0.5402167175687645,0.6227228403958204,0.11922338539976965,0.12021208226621523,0.11158098348336684,0.6495627136714676,0.6348416194936419,0.5569281332224344,2.8055055269820204,2.8076039233177785,2.718896620391357,0.007961817509412323,0.009749897164810136,0.018150695986663468,0.24920040773033647,0.2493233425210183,0.2396412376324196
6,-0.1304715687451177,-0.13018922493803836,-0.11190311436520448,-0.10165430272618096,-0.10167973648626412,-0.09231725461597652,0.03891367351622777,0.055231300327699205,0.037231321527935055,-0.10506610144633838,-0.10419867672812062,-0.09161055282767484,-0.18293808960126848,-0.18446864842954577,-0.177190148251751,-0.10696842709798053,-0.09819037175779834,-0.08997757753963878,-0.1448056670551751,-0.14604874508861082,-0.17614440936971165,-0.13877205338229315,-0.13720255114534516,-0.1470004625652192,-0.039023169353588114,-0.05090537854380822,-0.09152584668958971,-0.12702505921940266,-0.12506576835794736,-0.12233759802156649,-0.07093239834468895,-0.07300402483002967,-0.14375561301680706,0.1660480764659402,0.18814099650114838,0.14767864478655576,-0.17244104339063868,-0.17556102192604633,-0.19608625133359087,-0.09818799507354613,-0.09838097282630692,-0.1371663687584794
7,-0.12165940613966558,-0.12164975838790826,-0.1266550538085732,-0.13643955742286223,-0.13827122509240403,-0.1362157831451642,-0.3541543267349225,-0.3543543217086785,-0.35155508004303765,-0.47630838063091285,-0.4869904221101698,-0.46231986417079063,-0.38817435893245816,-0.40671577152038846,-0.34423683387985143,-0.31849500708898404,-0.3062692936663841,-0.20506226917068293,-0.25168433515926225,-0.25373311526922576,-0.2615528483941693,-0.22944032140961818,-0.22536622164125528,-0.2261502786032292,-0.2799172857883937,-0.28144661225920414,-0.2775062844911367,-0.2104195976442095,-0.21187123879661762,-0.19154785598628482,-0.3070248574457282,-0.3068845294884476,-0.29757336658375216,-0.3792337519000828,-0.37862183462308635,-0.36788532635159993,-0.25642882161570296,-0.25613795036119213,-0.2518985460633744,-0.23896872525114976,-0.24163493823603807,-0.24748964453291994
8,-0.191232707872126,-0.18965572465274302,-0.1551776160802775,-0.10094967985833603,-0.1092090681562051,-0.13321898573855379,-0.3007019922096127,-0.30074405538360244,-0.2972939268225817,3.3529311977825236,2.7398177131198316,-0.1516759075054791,1.3196864380927054,1.1016707626362152,-0.20505568893830917,-0.2970179644291634,-0.28972029620073075,-0.19604585269671126,0.8297272313492302,0.6509616340048263,-0.16521262193949443,0.5095351976556617,0.3641251514283004,-0.16719526300451243,1.1963975873162758,0.9781350583933661,-0.13405364394117492,0.525902450323847,0.4018219132081708,-0.1344515497134103,2.0399407699481547,1.6210196733323592,-0.1096544147769054,-0.3155944434677967,-0.31485073668703256,-0.30565329366913574,0.2599858728390357,0.17782370861087085,-0.2058052568809202,0.7844358413276065,0.6154275073919105,-0.16014838548494978
9,-0.11570826531496256,-0.10620885573380874,-0.09194241922428688,-0.08796293301053187,-0.0844975286753479,-0.08343685030981404,-0.181341275364274,-0.1702702674308637,-0.16002866456219816,-0.38897327513956115,-0.38970836535607545,-0.3506360622177366,-0.29060761683431174,-0.28965024221181057,-0.22671680727770618,-0.21403733536097813,-0.20693544406745387,-0.1457133749299144,-0.1921948388266075,-0.18933920380138342,-0.19534259316679606,-0.1773095680083206,-0.17025508115334848,-0.16924396927952026,-0.1419929667167081,-0.1407897112507186,-0.12426309142789829,0.6098781668112537,0.5993610412958679,0.10992681428984072,-0.18661941233574947,-0.17776189165923506,-0.17602148282027272,-0.22221281141568994,-0.2115520606563255,-0.20115084705555433,-0.21407801272960356,-0.21360040325327748,-0.20893149833953356,-0.23687027996053014,-0.23694192791788482,-0.24088837181218833
